Month,Year,MosquitoSpecies,TrappingMethod,Location,NumberOfMosquitoes,Rainfall,RainfallUnits,Source,SequenceNumber,OtherNotes
8,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",190,0,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",447,21.27659574,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",658,100,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",573,125.5319149,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1946,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",713,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
1,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",759,300,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
2,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",521,85.10638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
3,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",181,357.4468085,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
4,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",85,14.89361702,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",62,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",13,12.76595745,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",28,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
8,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",126,53.19148936,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",440,48.93617021,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",361,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",252,185.106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1947,Sabethes,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",514,255.3191489,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,10,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1945,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",57,23.40425532,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1945,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",189,87.23404255,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1945,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",666,180.8510638,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1945,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",936,406.3829787,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
1,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2682,104.2553191,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
2,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",456,123.4042553,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
3,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",327,208.5106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
4,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",264,44.68085106,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",58,4.255319149,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2,10.63829787,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2,40.42553191,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
8,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",4,0,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",0,21.27659574,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",100,100,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",899,125.5319149,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1946,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",530,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
1,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",583,300,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
2,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",421,85.10638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
3,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",403,357.4468085,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
4,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",400,14.89361702,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",12,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",3,12.76595745,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",0,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
8,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2,53.19148936,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",34,48.93617021,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",271,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",233,185.106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1947,Haemagogus janthinomys,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",254,255.3191489,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,11,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1945,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",40,23.40425532,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1945,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",62,87.23404255,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1945,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",216,180.8510638,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1945,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",216,406.3829787,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
1,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",419,104.2553191,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
2,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",83,123.4042553,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
3,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",87,208.5106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
4,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",63,44.68085106,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",15,4.255319149,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2,10.63829787,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",6,40.42553191,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
8,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",15,0,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",3,21.27659574,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",197,100,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",537,125.5319149,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1946,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",146,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
1,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",291,300,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
2,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",100,85.10638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
3,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",215,357.4468085,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
4,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",128,14.89361702,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",13,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",4,12.76595745,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
8,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",14,53.19148936,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",162,48.93617021,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",180,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",192,185.106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",131,255.3191489,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,2000,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,22.4691358,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2000,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,97.61111111,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2000,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,33,187.0123457,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
1,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,4,203.1056241,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
3,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,8.5,239.9419027,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
5,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,60.76268861,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,5.116049383,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,1,65.74814815,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3.5,234.3703704,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2000,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,22.4691358,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2000,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,2,97.61111111,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2000,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,187.0123457,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
1,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0.5,203.1056241,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
3,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,1.5,239.9419027,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
5,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,60.76268861,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,5.116049383,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,65.74814815,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,234.3703704,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
